T?nh,N?m,Dân s?,Dân s? nam,Dân s? n?,Dân s? thành th?,Dân s? nông thôn,S? l??ng trang tr?i,Di?n tích tr?ng lúa,S?n l??ng lúa,Di?n tích tr?ng ngô,S?n l??ng ngô,Di?n tích khoai lang,S?n l??ng khoai lang,S? l??ng trâu,S? l??ng bò,S? l??ng l?n,S? l??ng gia c?m,Di?n tích r?ng tr?ng m?i,S?n l??ng g? khai thác,Di?n tích nuôi tr?ng th?y s?n,S?n l??ng th?y s?n,S? l??t v?n chuy?n hành khách,S? l??t luân chuy?n hành khách,Kh?i l??ng hàng hóa v?n chuy?n,Kh?i l??ng hàng hóa luân chuy?n,S? tr??ng ti?u h?c,S? tr??ng thcs,S? tr??ng thpt,S? giáo viên ti?u h?c,S? giáo viên thcs,S? giáo viên thpt,S? h?c sinh ti?u h?c,S? h?c sinh thcs,S? h?c sinh thpt,S? b?nh vi?n,S? tr?m y t?,S? bác s?
Khánh Hòa,2000,1049600,519100,530500,385900,663700,850,45700,187200,5000,7300,200,900,6800,62600,120100,1477000,3000,34300,4600,61165,7500000,314400000,4200000,546900000,167,70,12,4446,3342,1170,128659,84598,28007,10,135,452
Ninh Thu?n,2000,516700,254800,261900,126900,389800,407,34000,145700,10800,20100,100,600,6100,80300,72600,685000,2100,6100,700,30548,1600000,84100000,693000,88500000,127,36,4,2782,1518,450,75367,39008,12069,4,62,228
Bình Thu?n,2000,1063900,530900,533000,332000,731900,914,93100,321500,12000,34600,3700,17300,10600,115100,211800,3514000,3500,39900,1100,130149,8800000,296600000,1184000,111300000,254,78,13,5357,2886,1036,156941,87968,29089,10,104,446
Kon Tum,2000,328100,165100,163000,105100,223000,255,20900,51800,4400,13100,200,1600,11800,61600,123900,594000,3600,31800,300,789,900000,141900000,516000,39500000,95,45,3,2627,1601,388,59963,29716,8641,8,95,183
Gia Lai,2000,1026300,518200,508100,262000,764300,1200,59200,175100,23500,64700,2600,10700,16400,286400,302000,1033000,3500,137200,100,201,2100000,305900000,1146000,185800000,162,112,15,6092,3219,906,160344,79779,24259,16,172,345
??k L?k,2000,1860900,945600,915300,375800,1485100,1418,64000,257800,46500,193500,3600,26900,22700,119500,497900,2906000,4300,165300,3300,6614,6400000,597000000,1695000,190600000,418,190,25,10700,6123,1737,307226,173939,54924,15,165,714
??k Nông,2000,1860900,945600,915300,375800,1485100,1418,64000,257800,46500,193500,3600,26900,22700,119500,497900,2906000,0,0,0,0,6400000,597000000,1695000,190600000,418,190,25,10700,6123,1737,307226,173939,54924,7,52,714
Lâm ??ng,2000,1031099,520100,510999,397500,633600,716,32700,102100,12400,49000,2900,24000,17500,57400,199000,1569000,1900,38500,1400,2682,5100000,393600000,1477000,176300000,247,90,14,5153,3944,1478,143013,93020,32393,12,145,468
Bình Ph??c,2000,682900,348000,334900,106000,576900,3111,15900,29600,5900,15500,700,4200,17300,26200,134500,999000,2100,15300,600,1591,2600000,375600000,489000,38400000,136,74,11,3942,2125,526,101842,58548,18282,7,91,211
Tây Ninh,2000,983300,482900,500400,136000,847300,1512,174000,530300,7100,25100,1600,17100,50400,56800,120400,2652000,500,18500,500,3923,5500000,397500000,3980000,315700000,296,96,28,4766,3036,753,108659,75006,22413,12,92,476
Bình D??ng,2000,779400,376900,402500,236000,543400,1459,24900,66600,1300,2100,800,5400,16700,27100,178900,2225000,100,600,200,443,3300000,114500000,2402000,124600000,116,43,2,3371,2312,815,73839,54128,23687,9,89,335
??ng Nai,2000,2054100,1025300,1028800,628000,1426100,1243,81900,270300,65300,232900,900,5000,7900,53200,580800,6101000,3100,36900,30500,15755,18000000,426600000,9401000,542000000,288,138,38,8231,5856,1986,241237,177050,69137,16,172,681
Bà R?a - V?ng Tàu,2000,829900,415000,414900,353000,476900,811,26800,79900,19300,68200,1300,5900,1300,25600,138900,1443000,1100,8100,4200,130117,11600000,832000000,2610000,287100000,137,56,14,3628,2546,975,100517,68827,27856,7,74,476
TP.H? Chí Minh,2000,5274900,2540300,2734600,4375500,899400,129,75900,235300,1100,3400,200,1300,7900,39700,211700,3014000,100,34600,4200,42427,178000000,3681600000,19405800,4239300000,435,216,63,13474,12419,6055,422517,304420,143291,36,317,3828
Long An,2000,1327100,650400,676700,217100,1110000,8905,453100,1573300,400,1300,0,100,22400,22500,187100,3789000,6600,65000,3400,20566,31200000,460000000,6982000,399300000,237,89,13,5619,3782,1042,137680,97797,33352,16,179,509
Ti?n Giang,2000,1613500,781200,832300,211700,1401800,420,282400,1301100,2500,6200,500,3600,900,11000,429100,4831000,400,61700,8400,97578,29300000,881400000,3129000,296700000,232,117,21,5527,4729,1353,155472,115474,40838,12,169,528
B?n Tre,2000,1297900,627900,670000,110300,1187600,813,101600,357300,800,2200,400,3400,5400,43700,280800,5045000,200,6000,29300,116365,16100000,499800000,1484000,161000000,203,130,40,5145,4105,1179,125927,98421,41109,11,160,461
Trà Vinh,2000,972000,484600,487400,126600,845400,757,237000,944700,2600,7700,1800,22800,7600,50500,225200,3422000,200,21100,52600,86745,10300000,564100000,902000,77100000,208,78,9,4487,2905,1229,104664,73431,25067,9,80,322
